Track URI;Track Name;Album Name;Artist Name(s);Year;Genres;Record Label;;
spotify:track:1MAUVCQleJfGqSH2F5Xf4Z;"""Te Quiero""";"""Lo Mejor de Pat Henry y los Diablos Azules""";"""Pat Henry Y Los Diablos Azules""";2018;"""pop rock";"""Suramericana Del Disco C.A.""";;
spotify:track:0bp2ufjj6T5v23OfflfEVd;"""Reptil No Gentil""";"""Amigurumi""";"""Playa Gótica""";2000;"""latin indie";alternative dance;;
spotify:track:1lxGbVZfRVwAt4e3P1HQlh;"""Blues de Santiago""";"""Bello Barrio""";"""Mauricio Redoles";1970;"""rock";"""latin rock";;
spotify:track:7lRKE7AYuKqsUrDg0L0rsQ;"""Nunca Jamás""";"""Los Bric a Brac""";"""Los Bric a Brac""";1999;"""pop rock";"""ARCI""";;
spotify:track:7tOAN6w4a1LD0iqkRnIrhZ;"""1977""";"""1977""";"""Ana Tijoux""";2009;"""latin hip hop""";"""Nacional Records""";;
spotify:track:5LYqZtogscsMDzecFsPdJV;"""Si Somos Americanos""";"""Panal""";"""Panal""";1987;"""latin rock""";"""WRECORDS""";;
spotify:track:4HsIQLLPaVc4hwYYsRESN2;"""Rock N Roll Addiction""";"""Crol (Vivo o Muerto)""";"""Panzer Chile""";2005;"""heavy metal";"""Juanzer Records""";;
spotify:track:6yhQPC5CpIRkjsPR0YYlGd;"""Las cosas simples""";"""Weichafe""";"""Weichafe""";2010;"""latin rock""";"""Musica y Entretenimiento""";;
spotify:track:1MOz8heM3N6Qepr16NtKrt;"""Cuando Miro En Tus Ojos""";"""Informe Saiko""";"""Saiko""";1970;"""latin rock""";"""EMI CHILE""";;
spotify:track:6Baq1ePlW4D8Ewsl8dFwzu;"""Justicia""";"""Patrimonio""";"""Tryo""";2016;"""progressive rock";progressive metal;;
spotify:track:6W7c7B526zf3zAF3tptnyG;"""Blues A Dos Mujeres""";"""La Rue Morgue""";"""La Rue Morgue""";1995;"""latin rock""";"""Sony Music Entertainment""";;
spotify:track:3oD73KdaKOeRwpvph3znhM;"""En Mi Lugar""";"""Congelador""";"""Congelador""";2008;"""latin indie""";"""Quemasucabeza""";;
spotify:track:4SUxFLdV6bGJ6ITrseAzNW;"""Sí Po'""";"""De Algo Hay Que Morir""";"""Diego Lorenzini""";2005;"""latin indie""";"""Uva Robot""";;
spotify:track:3mxmtIpszltDrteIBE98lx;"""Salón De Emociones""";"""Viena""";"""Viena""";2010;"""latin rock""";"""EMI Odeon Chilena S.A.""";;
spotify:track:7Fg40aipfVUgFvUfrUzn80;"""Incendie""";"""Panal""";"""Camila Moreno""";2013;"""latin folk";trova;;
spotify:track:4dCrW7sO0ZaFTziu4ZwCAu;"""Sacar la Basura""";"""Caída Libre""";"""Los Ex""";2000;"""latin rock""";"""Beast Discos""";;
spotify:track:3EkrzuhAgUW4M9fE6wahzA;"""Viento""";"""Viento""";"""Yorka";1973;"""indie pop";"""indie";;
spotify:track:2Rcz5kbNw9lzNfVBAznhGu;"""El Cóndor""";"""Fiskales Ad-Hok""";"""Fiskales Ad-Hok""";1975;"""punk";ska punk;;
spotify:track:6ftHPJyEHGqMaml3ZEwPm1;"""Llueve Sobre La Ciudad""";"""Vida De Perros""";"""Los Bunkers""";2007;"""latin rock";rock en español;;
spotify:track:322LgcUL3uhHbpUQP57WUF;"""Shock""";"""La Bala""";"""Ana Tijoux""";2011;"""latin hip hop""";"""Nacional Records""";;
